Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
ARRIVENT BIOPHARMA INC,AVBP,04272N102,BMGTLY5,0.106019,-,287101.000,USD
ANNEXON INC,ANNX,03589W102,BMVV9R5,0.104977,-,2296105.000,USD
TOURMALINE BIO INC,TRML,89157D105,BQ80NC6,0.103776,-,313914.000,USD
KEROS THERAPEUTICS INC,KROS,492327101,BM7V485,0.098054,-,481534.000,USD
ARBUTUS BIOPHARMA CORP,ABUS,03879J100,BZ0QMB7,0.089574,-,1543617.000,USD
LENZ THERAPEUTICS INC,LENZ,52635N103,BQV0J03,0.083427,-,186418.000,USD
TAYSHA GENE THERAPIES INC,TSHA,877619106,BNC1BX1,0.080223,-,2652423.000,USD
SSI US GOV MONEY MARKET CLASS,-,924QSGII3,-,0.075905,-,4316569.470,USD
AKEBIA THERAPEUTICS INC,AKBA,00972D105,BKKMP44,0.075113,-,1890068.000,USD
ORIC PHARMACEUTICALS INC,ORIC,68622P109,BKVDFF7,0.074037,-,540484.000,USD
MIMEDX GROUP INC,MDXG,602496101,B1Z3TW5,0.073586,-,528370.000,USD
SAVARA INC,SVRA,805111101,BYXGN81,0.070943,-,1545749.000,USD
OLEMA PHARMACEUTICALS INC,OLMA,68062P106,BMZ4LN0,0.066402,-,856278.000,USD
IRONWOOD PHARMACEUTICALS INC,IRWD,46333X108,B3MZ6K5,0.065219,-,2489179.000,USD
SANGAMO THERAPEUTICS INC,SGMO,800677106,2573083,0.063741,-,3694277.000,USD
CELCUITY INC,CELC,15102K100,BDH6M05,0.057239,-,324536.000,USD
ERASCA INC,ERAS,29479A108,BNLYBF3,0.055849,-,2205597.000,USD
ASTRIA THERAPEUTICS INC,ATXS,04635X102,BMYRFN8,0.044802,-,395012.000,USD
Y MABS THERAPEUTICS INC,YMAB,984241109,BG31GH0,0.035630,-,433884.000,USD
MONTE ROSA THERAPEUTICS INC,GLUE,61225M102,BP7KZP7,0.031995,-,290193.000,USD
SCILEX HOLDING CO,SCLX,80880W106,BLKFRT9,0.031140,-,5938524.000,USD
CARGO THERAPEUTICS INC,CRGX,14179K101,BQHN2F2,0.025546,-,345069.000,USD
CONTRA INHIBRX INC,-,457CVR017,-,0.018813,-,1645973.000,USD
CONTRA MIRATI THERAPEU,-,604CVR027,-,0.016858,-,1369552.000,USD
US DOLLAR,-,999USDZ92,-,0.000002,-,122.670,USD
OMNIAB INC   12.5 EARNOUT,2200963D,68218J202,BP0VHM8,0.000000,-,161959.000,USD
OMNIAB INC   15.00 EARNOUT,2200964D,68218J301,BP0VHL7,0.000000,-,161959.000,USD
